,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,micro avg,macro avg,weighted avg,samples avg
precision,0.68,0.8,0.55,0.56,0.6,0.5,0.77,0.51,0.71,0.0,0.48,0.94,0.0,0.81,0.73,0.95,0.0,0.66,0.8,0.0,0.67,0.0,0.0,0.0,0.59,0.77,0.59,0.64,0.68,0.51,0.62,0.49
recall,0.61,0.84,0.33,0.03,0.18,0.04,0.07,0.34,0.18,0.0,0.1,0.12,0.0,0.2,0.42,0.89,0.0,0.52,0.79,0.0,0.41,0.0,0.0,0.0,0.71,0.37,0.35,0.58,0.43,0.29,0.43,0.45
f1-score,0.64,0.82,0.42,0.06,0.28,0.07,0.12,0.41,0.29,0.0,0.17,0.22,0.0,0.33,0.54,0.92,0.0,0.58,0.79,0.0,0.51,0.0,0.0,0.0,0.65,0.5,0.44,0.61,0.53,0.33,0.48,0.46
support,504.0,264.0,198.0,320.0,351.0,135.0,153.0,284.0,83.0,151.0,267.0,123.0,37.0,103.0,78.0,352.0,6.0,161.0,238.0,23.0,186.0,16.0,145.0,11.0,56.0,156.0,141.0,1787.0,6329.0,6329.0,6329.0,6329.0
auc-roc,0.92,0.96,0.9,0.81,0.78,0.84,0.9,0.92,0.88,0.76,0.85,0.9,0.84,0.88,0.92,0.99,0.76,0.93,0.97,0.81,0.89,0.89,0.7,0.84,0.99,0.89,0.88,0.81,0.93,0.87,0.86,
