,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral,micro avg,macro avg,weighted avg,samples avg
precision,0.66,0.79,0.53,0.0,0.62,0.69,0.56,0.52,0.67,0.88,0.56,0.83,0.0,0.78,0.83,0.94,0.0,0.7,0.77,0.0,0.66,0.0,0.0,0.0,0.58,0.58,0.62,0.72,0.7,0.52,0.63,0.48
recall,0.66,0.81,0.3,0.0,0.25,0.13,0.18,0.4,0.24,0.05,0.17,0.2,0.0,0.14,0.37,0.9,0.0,0.4,0.81,0.0,0.52,0.0,0.0,0.0,0.68,0.44,0.45,0.47,0.42,0.31,0.42,0.45
f1-score,0.66,0.8,0.39,0.0,0.36,0.22,0.28,0.45,0.35,0.09,0.26,0.33,0.0,0.23,0.51,0.92,0.0,0.51,0.79,0.0,0.58,0.0,0.0,0.0,0.63,0.5,0.52,0.57,0.53,0.36,0.49,0.46
support,504.0,264.0,198.0,320.0,351.0,135.0,153.0,284.0,83.0,151.0,267.0,123.0,37.0,103.0,78.0,352.0,6.0,161.0,238.0,23.0,186.0,16.0,145.0,11.0,56.0,156.0,141.0,1787.0,6329.0,6329.0,6329.0,6329.0
auc-roc,0.93,0.97,0.91,0.82,0.82,0.86,0.92,0.95,0.89,0.82,0.88,0.92,0.88,0.9,0.92,0.99,0.72,0.94,0.97,0.85,0.92,0.76,0.74,0.72,0.99,0.92,0.91,0.84,0.94,0.88,0.88,
